factid,yearid,locationid,topicid,questionid,stratificationid,datavalue,lowconfidence,highconfidence,samplesize
1,4,66,OWS,Q036,EDUHSGRAD,29.3,25.7,33.3,842
2,5,66,PA,Q044,RACEHIS,27.4,18.6,38.5,125
3,2,56,OWS,Q037,RACENAA,48.5,32.3,64.9,69
4,2,11,OWS,Q036,EDUHS,31.6,24.0,40.4,243
5,5,72,PA,Q047,INC2535,38.1,32.6,43.8,421
6,1,1,OWS,Q036,AGEYR2534,35.2,30.7,40.0,598
7,5,66,PA,Q047,EDUHSGRAD,30.5,25.8,35.6,559
8,5,44,OWS,Q037,RACEHIS,40.2,33.3,47.4,354
9,2,56,PA,Q047,INCLESS15,32.3,25.6,39.8,484
10,10,10,PA,Q047,RACEASN,15.3,6.9,30.6,65
11,5,66,OWS,Q036,AGEYR5564,33.7,25.1,43.4,285
12,1,44,OWS,Q036,RACEOTH,32.1,21.6,44.8,109
13,7,34,PA,Q046,RACEOTH,19.8,10.5,34.4,59
14,7,53,FV,Q018,INCLESS15,36.1,31.5,41.0,766
15,5,72,OWS,Q037,AGEYR5564,42.0,38.4,45.7,997
16,4,72,OWS,Q037,INCLESS15,36.1,33.6,38.7,2214
17,4,66,OWS,Q036,INCLESS15,34.5,27.8,41.9,333
18,5,72,PA,Q047,AGEYR4554,50.4,46.4,54.3,862
19,5,72,OWS,Q036,OVERALL,29.5,28.0,31.1,5154
20,10,23,PA,Q047,MALE,21.7,19.9,23.7,4518
21,6,26,PA,Q047,INC5075,21.5,19.0,24.3,1664
22,6,56,OWS,Q037,FEMALE,29.8,26.9,32.8,2293
23,6,51,OWS,Q037,AGEYR3544,40.1,36.5,43.8,951
24,6,53,PA,Q047,AGEYR5564,18.8,17.1,20.7,3054
25,6,6,PA,Q047,RACE2PLUS,13.7,9.7,19.2,273
26,6,49,OWS,Q037,INCNR,33.0,29.7,36.4,1506
27,6,36,OWS,Q036,MALE,25.9,24.5,27.3,14316
28,6,44,OWS,Q036,EDUCOGRAD,20.1,17.9,22.4,2071
29,6,6,OWS,Q036,EDUHS,36.0,32.9,39.2,1256
30,6,53,OWS,Q036,RACEWHT,29.1,28.0,30.2,10788
31,6,25,PA,Q047,RACEWHT,17.5,16.3,18.8,6581
32,6,10,OWS,Q037,RACEWHT,38.5,36.0,41.1,2645
33,6,1,OWS,Q037,AGEYR5564,35.3,32.2,38.5,1402
34,6,5,OWS,Q037,MALE,38.0,34.4,41.7,1918
35,6,17,OWS,Q037,FEMALE,27.5,25.4,29.7,2492
36,6,33,OWS,Q036,MALE,26.6,24.4,28.9,2732
37,6,72,PA,Q047,AGEYR4554,44.3,40.1,48.6,916
38,6,35,OWS,Q036,OVERALL,28.3,26.6,30.1,5531
39,5,66,PA,Q044,RACEWHT,29.5,19.0,42.7,139
40,8,24,PA,Q047,RACEHIS,32.5,28.0,37.5,671
41,7,51,PA,Q047,RACEWHT,24.2,22.8,25.7,6533
42,10,27,PA,Q047,INC1525,28.5,25.8,31.4,1664
43,2,34,OWS,Q036,INC3550,25.0,22.0,28.4,1533
44,7,15,OWS,Q036,MALE,25.1,23.2,27.1,3529
45,5,72,PA,Q043,AGEYR2534,39.0,34.7,43.4,613
46,3,72,OWS,Q037,INCLESS15,37.4,34.8,40.0,2273
47,5,72,PA,Q043,EDUHS,26.1,23.0,29.6,1085
48,7,66,PA,Q047,INCLESS15,46.1,37.2,55.3,200
49,4,22,PA,Q047,RACE2PLUS,23.6,12.8,39.2,74
50,10,46,PA,Q047,MALE,22.6,19.5,26.1,3064
51,7,44,FV,Q019,INC2535,26.0,19.1,34.2,381
52,5,72,PA,Q046,OVERALL,10.9,9.9,12.0,5296
53,7,48,PA,Q046,RACEASN,39.0,27.2,52.3,217
54,4,72,OWS,Q037,AGEYR4554,42.7,38.9,46.6,960
55,7,25,FV,Q018,RACEHIS,29.9,24.7,35.6,452
56,5,72,PA,Q046,INCNR,8.8,6.6,11.6,922
57,5,66,OWS,Q036,AGEYR1824,25.0,16.8,35.5,195
58,5,66,PA,Q046,AGEYR5564,21.1,15.2,28.4,266
59,5,46,OWS,Q036,AGEYR3544,35.8,30.5,41.5,742
60,10,56,PA,Q047,AGEYR5564,24.0,20.5,27.8,927
61,4,72,OWS,Q037,INC75PLUS,42.8,34.5,51.5,199
62,6,33,OWS,Q036,OVERALL,26.6,25.0,28.2,5888
63,6,51,OWS,Q037,EDUHSGRAD,35.4,32.8,38.0,2168
64,6,8,PA,Q047,INC1525,25.9,23.2,28.8,1692
65,6,40,OWS,Q036,MALE,33.3,30.9,35.6,2710
66,6,28,OWS,Q036,INC1525,41.9,37.6,46.3,964
